date,trade_count,wins,losses,tp_count,sl_count,daily_pnl_usdt,daily_fees_usdt,last_capital_usdt
2025-04-26,5,2,3,2,3,16.07197,3.869699,1016.07197
2025-04-27,5,3,2,1,4,15.523082,3.889978,1031.595052
2025-04-28,5,2,3,1,4,9.451054,3.951933,1041.046106
2025-04-29,5,3,2,2,3,31.951123,4.003943,1072.99723
2025-04-30,3,3,0,2,1,40.528502,2.489878,1113.525731
2025-05-01,5,3,2,1,4,16.531972,4.241783,1130.057704
2025-05-02,4,3,1,3,1,42.092483,3.504093,1172.150188
2025-05-03,5,2,3,2,3,18.838762,4.505196,1190.98895
2025-05-04,5,3,2,3,2,39.903494,4.599312,1230.892444
2025-05-05,5,2,3,2,3,19.782866,4.666905,1250.67531
2025-05-06,4,3,1,3,1,46.585258,3.845379,1297.260568
2025-05-07,3,3,0,3,0,53.194457,3.014685,1350.455026
2025-05-08,5,3,2,2,3,41.169811,5.201715,1391.624837
2025-05-09,3,3,0,1,2,46.59626,3.219115,1438.221097
2025-05-10,5,4,1,3,2,56.212387,5.54271,1494.433484
2025-05-11,5,3,2,1,4,29.961784,5.745966,1524.395269
2025-05-12,5,3,2,3,2,51.074107,5.867036,1575.469377
2025-05-13,5,4,1,1,4,38.430483,6.036366,1613.89986
2025-05-14,5,3,2,2,3,39.855984,6.206775,1653.755843
2025-05-15,5,4,1,2,3,42.236981,6.410959,1695.992824
2025-05-16,5,3,2,3,2,61.149517,6.554061,1757.142341
2025-05-17,5,2,3,1,4,5.482371,6.63827,1762.624711
2025-05-18,5,3,2,3,2,59.055868,6.737968,1821.680578
2025-05-19,4,3,1,3,1,73.170566,5.634208,1894.851145
2025-05-20,5,3,2,0,5,32.090359,7.31596,1926.941504
2025-05-21,5,3,2,2,3,38.294514,7.414047,1965.236018
2025-05-22,5,2,3,2,3,33.715074,7.531523,1998.951093
2025-05-23,5,1,4,0,5,-12.540009,7.573654,1986.411083
2025-05-24,3,3,0,2,1,60.453607,4.609888,2046.864689
2025-05-25,5,2,3,2,3,32.897148,7.813562,2079.761836
2025-05-26,5,2,3,0,5,17.453055,8.001716,2097.214891
2025-05-27,4,3,1,3,1,78.117235,6.503064,2175.332126
2025-05-28,4,3,1,3,1,81.026952,6.745289,2256.359077
2025-05-29,4,3,1,2,2,70.411903,6.961833,2326.77098
2025-05-30,5,2,3,2,3,37.395793,8.942721,2364.166773
2025-05-31,5,2,3,0,5,-5.03655,8.955991,2359.130223
2025-06-01,3,3,0,3,0,96.736658,5.482347,2455.866881
2025-06-02,5,3,2,3,2,82.282603,9.41982,2538.149484
2025-06-03,4,3,1,3,1,94.541202,7.803901,2632.690687
2025-06-04,3,2,1,2,1,70.298339,6.050653,2702.989026
2025-06-05,5,3,2,1,4,41.570353,10.359228,2744.559379
2025-06-06,3,2,1,2,1,74.415333,6.337999,2818.974713
2025-06-07,5,2,3,2,3,45.306476,10.76132,2864.281189
2025-06-08,5,2,3,2,3,48.44218,10.902951,2912.723368
2025-06-09,5,4,1,2,3,102.195614,11.261552,3014.918983
2025-06-10,5,3,2,3,2,104.674806,11.612601,3119.593789
2025-06-11,3,3,0,2,1,116.011561,7.237068,3235.605351
2025-06-12,5,2,3,1,4,27.585415,12.325835,3263.190766
2025-06-13,3,3,0,2,1,103.449942,7.551398,3366.640709
2025-06-14,4,4,0,1,3,103.102607,10.418173,3469.743316
2025-06-15,5,4,1,3,2,135.10749,13.401542,3604.850807
2025-06-16,5,2,3,1,4,39.833165,13.761496,3644.683972
2025-06-17,5,3,2,2,3,74.580609,13.88258,3719.264582
2025-06-18,5,1,4,0,5,-23.489885,14.094673,3695.774696
2025-06-19,5,1,4,1,4,-3.941631,14.137022,3691.833065
2025-06-20,4,4,0,2,2,112.756776,11.354225,3804.589842
2025-06-21,5,1,4,1,4,-4.057685,14.553259,3800.532157
2025-06-22,5,2,3,2,3,61.082036,14.557589,3861.614194
2025-06-23,5,2,3,2,3,62.063746,14.892423,3923.67794
2025-06-24,5,2,3,2,3,75.229845,14.958151,3998.907787
2025-06-25,5,2,3,2,3,64.270324,15.213376,4063.178111
2025-06-26,5,2,3,2,3,65.303275,15.40546,4128.481386
2025-06-27,5,3,2,3,2,138.322722,15.835365,4266.804109
2025-06-28,5,2,3,1,4,15.571687,16.333385,4282.375795
2025-06-29,5,3,2,1,4,75.769618,16.399008,4358.145413
2025-06-30,3,3,0,3,0,178.706721,10.127827,4536.852133
2025-07-01,3,3,0,2,1,167.328116,10.537507,4704.18025
2025-07-02,5,2,3,1,4,42.137756,17.836159,4746.318006
2025-07-03,3,3,0,2,1,139.517185,10.972022,4885.835191
2025-07-04,5,3,2,1,4,82.534556,18.68761,4968.369747
2025-07-05,5,4,1,1,4,154.527091,19.026884,5122.896838
2025-07-06,3,3,0,3,0,210.065521,11.90502,5332.96236
